protein_tissue_type,value,tissue_type
AL1A1 - SC,109.79049,SC
AL1A1 - SC,71.36400961,SC
AL1A1 - SC,99.24300353,SC
AL1A1 - SC,153.6716727,SC
AL1A1 - SC,124.1220363,SC
AL1A1 - SC,43.84379434,SC
AL1A1 - SC,88.85697619,SC
AL1A1 - SC,38.64082099,SC
AL1A1 - SC,134.9207533,SC
AL1A1 - SC,84.31016719,SC
AL1A1 - SC,98.55272762,SC
AL1A1 - SC,127.736105,SC
AL1A1 - SC,89.52164486,SC
AL1A1 - SC,132.906,SC
AL1A1 - SC,102.9558005,SC
AL1A1 - OM,182.8392023,OM
AL1A1 - OM,216.7696324,OM
AL1A1 - OM,67.33876251,OM
AL1A1 - OM,241.1269278,OM
AL1A1 - OM,336.0676647,OM
AL1A1 - OM,340.9102964,OM
AL1A1 - OM,295.2540634,OM
AL1A1 - OM,236.3268878,OM
AL1A1 - OM,213.3429669,OM
AL1A1 - OM,320.7923064,OM
AL1A1 - OM,376.699623,OM
AL1A1 - OM,239.5919794,OM
AL1A1 - OM,186.9342378,OM
AL1A1 - OM,208.6691877,OM
AL1A2 - OM,4.411242756,OM
AL1A2 - OM,8.187351681,OM
AL1A2 - OM,4.472660476,OM
AL1A2 - OM,13.76815201,OM
AL1A2 - OM,25.57229226,OM
AL1A2 - OM,10.10619949,OM
AL1A2 - OM,21.05776446,OM
AL1A2 - OM,7.62376976,OM
AL1A2 - OM,7.275373363,OM
AL1A2 - OM,11.60298301,OM
AL1A2 - OM,14.3342235,OM
AL1A2 - OM,0,OM
AL1A2 - OM,0,OM
AL1A2 - OM,7.021650969,OM
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AL1A2 - SC,0,SC
AOXA - OM,8.049098028,OM
AOXA - OM,5.094350703,OM
AOXA - OM,3.842434685,OM
AOXA - OM,14.85782563,OM
AOXA - OM,13.09364001,OM
AOXA - OM,9.576366702,OM
AOXA - OM,10.82950577,OM
AOXA - OM,6.458423605,OM
AOXA - OM,5.810486632,OM
AOXA - OM,9.394934531,OM
AOXA - OM,10.09571668,OM
AOXA - OM,0,OM
AOXA - OM,0,OM
AOXA - OM,6.914911949,OM
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
AOXA - SC,0,SC
